ano,mes,N_casos,SEX_indef,SEX_masc,SEX_fem,RA_ndec,RA_branco,RA_negro,RA_amarelo,RA_pardo,RA_indigena,EP_ign,EP_sim,EP_nao,EM_ign,EM_sim,EM_nao,EPi_ign,EPi_sim,EPi_nao,EPni__ign,EPni_sim,EPni_nao,EXO_ign,EXO_sim,EXO_nao,MO_ign,MO_sangue,MO_liquor,MO_liquor_pleural,MO_liquor_ascite,MO_liq_amniotico,MO_fluido_sangue,MO_soro_plasma,MO_outros,FE_< 1 ano,FE_1_a_4,FE_5_a_14,FE_15_a_24,FE_25_a_34,FE_35_a_44,FE_45_a_54,FE_55_a_64,FE_65+,ZR_ign,ZR_urbana,ZR_rural,ZR_periurbana,CAT_ign,CAT_sim,CAT_nao,CAT_n_aplica
2024,janeiro,966,0,238,728,23,388,104,9,440,2,112,632,222,214,87,665,200,347,419,231,51,684,287,51,628,104,693,9,1,1,3,25,6,124,2,0,2,176,346,262,127,41,10,60,883,22,1,222,505,196,43
2024,fevereiro,799,0,185,614,23,348,100,6,322,0,64,508,227,140,102,557,127,238,434,176,49,601,204,73,522,54,544,7,0,0,1,37,2,154,1,0,0,142,278,208,128,36,6,27,735,36,1,157,389,215,37
2024,marco,935,1,237,697,43,390,84,8,408,2,57,588,290,144,110,681,127,327,481,155,57,723,239,65,631,63,647,13,5,0,3,27,5,172,2,0,1,201,324,257,114,34,2,35,868,31,1,186,453,240,56
2024,abril,974,0,227,747,33,426,91,6,416,2,82,661,231,194,103,677,178,332,464,211,46,717,282,18,674,83,726,6,2,0,5,40,4,108,2,0,2,192,334,236,159,39,10,27,912,33,2,183,506,220,65
2024,maio,886,0,197,689,33,399,78,3,372,1,65,614,207,157,84,645,140,309,437,169,52,665,252,13,621,78,655,9,1,0,1,38,4,100,7,1,1,184,312,217,121,37,6,33,822,31,0,182,459,181,64
2024,junho,871,0,217,654,32,395,89,5,350,0,66,616,189,173,72,626,153,294,424,184,50,637,260,20,591,60,667,7,3,1,3,28,3,99,5,0,1,117,329,207,113,35,4,26,812,31,2,169,448,187,67
2024,julho,987,0,255,732,46,417,110,9,404,1,73,666,248,186,86,715,166,344,477,205,46,736,278,24,685,61,740,4,1,3,3,44,3,128,5,0,1,200,365,240,121,52,3,24,929,32,2,172,517,227,71
2024,agosto,889,0,229,660,39,403,76,10,359,2,49,610,230,124,74,691,108,349,432,134,62,693,214,19,656,51,696,6,0,1,1,25,3,106,4,0,3,117,317,239,109,37,3,14,840,33,2,171,474,196,48
2024,setembro,938,0,222,716,40,426,105,1,366,0,75,618,245,158,91,689,128,345,465,165,58,715,244,44,650,79,691,9,4,0,1,41,3,110,4,0,0,209,325,243,121,31,5,24,883,29,2,198,440,231,69
2024,outubro,978,0,234,744,37,428,103,6,401,3,66,642,270,181,123,674,166,333,479,196,49,733,161,20,696,82,734,8,3,0,0,47,5,99,5,1,0,202,383,239,111,26,11,34,914,19,1,186,496,219,77
2024,novembro,929,0,224,705,39,381,93,9,404,3,62,659,208,136,80,713,119,312,498,146,52,731,213,16,700,74,683,9,0,1,4,35,0,123,11,0,1,150,353,228,124,59,3,33,864,30,2,185,468,201,75
2024,dezembro,918,0,204,714,29,410,75,12,392,0,62,623,233,142,95,681,119,325,474,148,50,720,218,38,662,57,706,5,3,1,0,40,6,100,9,0,1,179,345,240,99,39,6,34,859,24,1,192,491,174,61
2023,janeiro,910,0,233,677,57,401,94,2,356,0,100,538,272,216,83,611,201,267,442,226,43,641,254,115,541,112,571,6,1,1,1,34,2,182,2,0,2,135,303,287,132,41,8,66,811,33,0,196,430,244,40
2023,fevereiro,615,0,134,481,24,289,59,4,239,0,55,371,169,116,75,424,108,205,302,123,39,453,176,45,394,52,415,2,0,0,2,21,3,120,2,0,0,106,213,180,84,27,3,49,539,26,1,136,287,177,15
2023,marco,982,0,238,744,68,471,82,5,353,3,115,606,261,208,101,673,175,340,467,213,86,683,251,86,645,119,646,4,3,2,1,44,4,159,2,0,1,200,330,270,120,47,12,69,870,40,3,208,467,261,46
2023,abril,772,0,172,600,37,338,63,4,328,2,59,524,189,139,71,562,135,253,384,142,57,573,185,35,552,61,656,6,2,2,0,35,0,101,2,1,1,158,260,205,105,36,4,60,686,26,0,188,342,213,29
2023,maio,907,1,200,706,46,440,71,5,343,2,78,618,211,186,84,637,162,324,421,200,55,652,290,28,589,86,645,7,4,1,1,41,2,111,0,0,2,182,325,228,128,38,4,75,788,43,1,208,412,245,42
2023,junho,854,0,208,676,35,380,74,8,356,1,64,568,222,152,109,593,141,310,403,164,55,635,267,23,564,102,586,9,2,1,2,41,1,110,5,0,1,186,312,210,103,31,6,69,742,42,1,198,418,204,34
2023,julho,854,0,207,647,33,338,85,3,395,0,86,557,211,159,81,614,133,362,359,162,56,636,298,29,527,87,596,12,1,0,2,40,4,112,3,0,2,177,296,216,116,36,8,78,737,37,2,174,448,187,45
2023,agosto,985,1,252,732,31,432,106,10,401,5,61,660,264,145,108,732,135,409,441,155,55,775,300,25,660,85,723,7,2,1,2,29,10,126,6,0,2,182,355,265,127,36,12,87,867,30,1,210,527,208,40
2023,setembro,899,1,221,677,25,403,77,6,388,0,75,587,237,168,101,630,149,282,468,183,56,660,261,33,605,88,634,6,0,0,1,44,4,122,3,0,0,202,331,222,101,34,6,79,784,36,0,177,435,214,73
2023,outubro,937,0,240,697,35,434,106,4,358,0,79,608,250,163,97,677,148,306,483,178,68,691,248,49,640,73,664,7,1,1,3,35,3,150,4,0,0,211,330,226,112,47,7,105,800,30,2,213,416,235,73
2023,novembro,929,0,245,684,30,432,99,6,362,0,95,581,253,166,124,639,155,310,464,189,52,688,243,54,632,100,617,9,1,2,0,30,8,162,3,0,0,164,317,257,120,57,11,26,863,39,1,199,400,264,66
2023,dezembro,732,1,182,549,19,346,86,6,275,0,58,442,232,115,73,544,98,261,373,124,51,557,184,37,511,78,528,5,0,0,1,35,3,82,2,0,1,122,258,201,104,37,7,25,675,28,4,152,360,181,39
2022,janeiro,1391,0,272,1119,63,679,112,7,526,4,201,388,802,177,356,858,285,206,900,306,27,1058,323,542,526,126,354,3,0,1,1,29,0,877,3,0,0,175,473,427,221,79,13,130,1202,53,6,156,623,565,47
2022,fevereiro,1244,0,257,987,48,546,84,5,560,1,112,432,700,205,266,773,182,315,747,219,33,992,235,466,543,104,429,5,5,0,0,16,3,682,2,0,0,171,399,394,192,75,11,55,1132,54,3,215,452,545,32
2022,marco,1024,0,244,780,86,398,79,3,456,2,100,572,352,209,156,659,182,370,472,225,70,729,268,144,612,77,602,5,2,1,4,35,3,295,4,0,1,191,327,295,158,39,9,77,906,40,1,199,516,277,32
2022,abril,749,0,201,548,52,327,71,6,293,0,71,461,217,173,85,491,148,258,343,190,38,521,225,77,447,77,478,1,0,0,0,29,1,169,1,0,0,142,254,202,110,33,7,58,638,53,0,154,356,202,37
2022,maio,914,0,199,715,52,428,80,3,348,3,53,585,276,162,102,650,152,277,485,176,63,675,223,95,596,63,582,8,2,1,0,41,0,217,1,0,1,162,319,247,121,58,5,68,779,65,2,201,405,252,56
2022,junho,1116,0,284,832,49,537,93,5,432,0,103,510,503,184,206,726,167,307,642,201,59,856,233,242,641,89,510,5,2,2,0,24,3,481,1,0,1,171,378,339,165,55,6,77,954,84,1,205,454,404,53
2022,julho,1015,0,213,802,44,461,77,10,422,1,79,534,402,158,166,691,135,311,569,171,53,791,263,190,562,90,515,5,0,1,0,28,0,376,1,0,1,154,372,270,138,63,16,69,887,58,1,217,448,303,47
2022,agosto,1003,0,255,748,55,465,86,1,395,1,68,556,379,160,108,735,141,335,527,183,52,768,263,216,524,68,567,1,0,1,1,43,8,314,3,0,2,174,332,271,142,56,23,76,872,52,3,206,381,368,48
2022,setembro,797,0,197,600,47,352,104,4,290,0,73,497,227,149,103,545,143,258,396,173,55,569,235,56,506,70,533,6,4,0,1,39,3,141,3,1,1,174,277,214,74,45,8,49,710,38,0,193,361,189,54
2022,outubro,733,0,181,552,44,343,58,3,282,3,101,461,171,161,76,496,157,211,365,174,50,509,198,72,463,92,488,3,3,0,1,27,3,116,0,0,1,143,233,201,103,39,13,32,661,38,2,154,345,203,31
2022,novembro,1035,0,230,805,82,445,86,4,416,2,130,514,391,231,141,663,206,286,543,244,57,734,274,179,585,146,553,10,0,1,2,30,3,290,4,0,2,165,332,296,160,63,13,78,905,50,2,252,437,309,37
2022,dezembro,1127,0,237,890,88,525,110,8,395,1,138,422,567,193,201,733,174,305,648,208,45,874,226,339,562,160,471,9,2,1,1,29,1,453,2,0,1,157,386,307,203,58,13,51,1024,50,2,192,535,358,42
2021,janeiro,1211,0,282,929,74,526,98,21,491,1,110,403,698,187,332,692,180,359,672,211,39,961,210,332,669,100,396,5,1,0,3,19,2,685,4,0,0,168,390,393,181,62,13,44,1120,45,2,297,446,354,114
2021,fevereiro,966,0,253,713,37,446,90,6,387,0,109,336,521,157,235,574,164,244,558,180,28,758,168,272,526,70,361,6,1,0,1,24,0,503,4,0,1,125,319,268,187,56,6,50,876,39,1,207,366,362,31
2021,marco,1039,0,261,778,30,461,84,13,448,3,95,399,545,160,193,686,173,289,577,188,41,810,190,316,533,71,423,2,0,0,1,24,1,517,4,0,0,147,345,334,149,50,10,40,947,50,2,195,343,464,37
2021,abril,959,0,216,743,34,469,66,5,380,5,129,385,445,166,224,569,163,230,566,189,50,720,187,265,507,84,371,3,0,0,1,36,1,463,0,0,1,146,354,283,121,43,10,47,878,33,1,184,381,358,36
2021,maio,1003,0,261,742,63,419,71,10,439,1,110,437,456,199,138,666,202,364,437,220,40,743,209,314,480,101,432,6,3,0,2,42,2,415,10,1,0,162,348,277,144,50,12,66,897,36,4,188,371,403,41
2021,junho,823,0,213,610,28,352,77,10,356,0,80,420,323,142,150,531,146,302,375,163,32,628,172,156,495,81,404,6,0,1,1,32,3,295,5,0,0,138,286,241,104,43,6,56,724,41,2,165,310,306,42
2021,julho,1099,0,249,850,70,518,75,7,428,1,126,544,429,212,169,718,208,349,542,238,48,813,298,268,533,141,539,2,2,0,2,35,2,376,9,0,0,186,381,305,143,65,11,66,994,37,2,245,464,340,50
2021,agosto,1057,0,227,830,54,477,88,8,429,1,122,505,430,247,241,569,236,370,451,273,40,744,298,195,564,114,533,4,1,0,3,29,2,371,4,0,0,177,371,317,138,46,4,84,943,29,1,285,392,341,39
2021,setembro,930,0,233,697,40,386,77,6,418,3,79,555,296,232,148,550,193,379,358,254,44,632,309,107,514,61,581,5,2,0,0,30,6,245,7,0,0,161,324,246,143,42,7,94,803,32,1,251,402,238,39
2021,outubro,846,0,218,628,39,363,75,4,364,1,97,500,249,200,146,500,169,309,368,229,38,579,240,69,537,77,525,4,2,0,2,28,5,203,7,0,0,164,300,217,110,47,1,93,724,29,0,199,335,270,42
2021,novembro,814,0,211,603,44,360,72,3,335,0,108,468,238,235,112,467,210,309,295,258,34,522,247,129,438,103,448,2,0,1,1,36,1,222,1,0,2,141,273,216,129,42,10,80,701,33,0,190,321,258,45
2021,dezembro,809,1,181,627,47,362,76,3,320,1,140,489,180,151,193,465,226,242,341,260,43,506,292,58,459,57,477,6,1,1,1,27,2,237,5,0,0,131,258,257,115,37,6,101,683,23,2,127,420,227,35
2020,janeiro,682,0,172,510,24,289,62,3,304,0,20,472,190,124,74,484,113,252,317,134,53,495,177,16,489,53,508,6,2,1,1,20,4,87,4,1,1,105,261,180,91,21,8,56,585,41,0,131,330,182,39
2020,fevereiro,626,0,177,449,26,273,55,2,267,3,31,458,137,122,48,456,113,252,261,129,32,465,167,9,450,72,445,5,1,0,0,22,2,79,6,0,1,114,199,189,73,32,12,49,544,32,1,121,266,206,33
2020,marco,572,0,155,417,28,274,49,5,215,1,45,393,134,141,55,376,102,233,237,150,27,395,192,10,370,59,423,1,0,1,0,16,2,70,5,0,0,97,197,168,74,23,7,61,475,32,4,120,249,158,45
2020,abril,559,0,148,411,16,263,63,0,216,1,63,366,130,149,68,342,136,211,212,171,38,350,209,11,339,60,382,4,2,0,2,19,2,88,9,0,0,98,204,158,66,20,4,20,505,33,1,135,282,117,25
2020,maio,698,0,181,517,13,328,75,5,275,2,51,404,243,163,91,444,143,204,351,172,37,489,208,80,410,66,406,3,2,1,0,23,1,196,3,0,1,108,246,208,95,34,3,56,607,34,1,164,295,194,45
2020,junho,1253,0,333,920,32,600,108,6,506,1,94,371,788,153,273,827,171,236,846,182,37,1034,223,405,625,94,374,4,2,0,0,25,3,751,8,0,1,153,430,411,185,56,9,52,1141,58,2,188,475,506,84
2020,julho,1643,0,428,1215,65,768,140,12,656,2,172,378,1093,241,396,1006,230,339,1074,247,91,1305,181,659,803,121,396,2,2,0,1,20,2,1099,20,0,1,203,524,509,281,91,14,52,1498,90,3,227,746,548,122
2020,agosto,1524,0,398,1126,41,668,126,16,670,3,136,452,936,245,249,1030,245,283,996,272,45,1207,286,610,628,117,399,11,4,0,2,25,1,965,6,0,0,179,505,480,275,70,9,64,1366,92,2,284,566,516,58
2020,setembro,1424,0,353,1071,32,723,107,19,541,2,135,435,854,190,220,1014,201,369,854,216,34,1174,219,475,730,99,436,5,1,0,2,23,2,856,14,1,0,185,474,437,237,60,16,85,1290,43,6,249,533,526,116
2020,outubro,1032,0,247,785,48,488,79,7,410,0,115,403,514,191,193,648,205,346,481,234,23,775,241,275,516,80,427,2,1,0,0,24,0,498,15,0,0,140,326,337,152,53,9,63,931,37,1,191,418,388,35
2020,novembro,1114,0,279,835,21,426,73,21,573,0,107,351,656,175,397,542,182,284,648,207,33,874,205,219,690,86,365,4,2,0,0,19,0,638,6,0,1,147,383,364,161,46,6,67,1013,33,1,188,449,400,77
2020,dezembro,1109,0,305,804,34,408,94,17,552,4,71,315,723,111,302,696,123,345,632,134,25,950,148,381,580,91,327,3,1,2,0,16,2,667,12,0,0,124,357,381,179,48,8,43,1026,39,1,146,473,446,44
