mes,N_casos,SEX_indef,SEX_masc,SEX_fem,RA_ndec,RA_branco,RA_negro,RA_amarelo,RA_pardo,RA_indigena,EP_ign,EP_sim,EP_nao,EM_ign,EM_sim,EM_nao,EPi_ign,EPi_sim,EPi_nao,EPni__ign,EPni_sim,EPni_nao,EXO_ign,EXO_sim,EXO_nao,MO_ign,MO_sangue,MO_liquor,MO_liquor_pleural,MO_liquor_ascite,MO_liq_amniotico,MO_fluido_sangue,MO_soro_plasma,MO_outros,FE_< 1 ano,FE_1_a_4,FE_5_a_14,FE_15_a_24,FE_25_a_34,FE_35_a_44,FE_45_a_54,FE_55_a_64,FE_65+,ZR_ign,ZR_urbana,ZR_rural,ZR_periurbana,CAT_ign,CAT_sim,CAT_nao,CAT_n_aplica
janeiro,"910,00","0,00","233,00","677,00","57,00","401,00","94,00","2,00","356,00","0,00","100,00","538,00","272,00","216,00","83,00","611,00","201,00","267,00","442,00","226,00","43,00","641,00","254,00","115,00","541,00","112,00","571,00","6,00","1,00","1,00","1,00","34,00","2,00","182,00","2,00","0,00","2,00","135,00","303,00","287,00","132,00","41,00","8,00","66,00","811,00","33,00","0,00","196,00","430,00","244,00","40,00"
fevereiro,"615,00","0,00","134,00","481,00","24,00","289,00","59,00","4,00","239,00","0,00","55,00","371,00","169,00","116,00","75,00","424,00","108,00","205,00","302,00","123,00","39,00","453,00","176,00","45,00","394,00","52,00","415,00","2,00","0,00","0,00","2,00","21,00","3,00","120,00","2,00","0,00","0,00","106,00","213,00","180,00","84,00","27,00","3,00","49,00","539,00","26,00","1,00","136,00","287,00","177,00","15,00"
marco,"982,00","0,00","238,00","744,00","68,00","471,00","82,00","5,00","353,00","3,00","115,00","606,00","261,00","208,00","101,00","673,00","175,00","340,00","467,00","213,00","86,00","683,00","251,00","86,00","645,00","119,00","646,00","4,00","3,00","2,00","1,00","44,00","4,00","159,00","2,00","0,00","1,00","200,00","330,00","270,00","120,00","47,00","12,00","69,00","870,00","40,00","3,00","208,00","467,00","261,00","46,00"
abril,"772,00","0,00","172,00","600,00","37,00","338,00","63,00","4,00","328,00","2,00","59,00","524,00","189,00","139,00","71,00","562,00","135,00","253,00","384,00","142,00","57,00","573,00","185,00","35,00","552,00","61,00","656,00","6,00","2,00","2,00","0,00","35,00","0,00","101,00","2,00","1,00","1,00","158,00","260,00","205,00","105,00","36,00","4,00","60,00","686,00","26,00","0,00","188,00","342,00","213,00","29,00"
maio,"907,00","1,00","200,00","706,00","46,00","440,00","71,00","5,00","343,00","2,00","78,00","618,00","211,00","186,00","84,00","637,00","162,00","324,00","421,00","200,00","55,00","652,00","290,00","28,00","589,00","86,00","645,00","7,00","4,00","1,00","1,00","41,00","2,00","111,00","0,00","0,00","2,00","182,00","325,00","228,00","128,00","38,00","4,00","75,00","788,00","43,00","1,00","208,00","412,00","245,00","42,00"
junho,"854,00","0,00","208,00","676,00","35,00","380,00","74,00","8,00","356,00","1,00","64,00","568,00","222,00","152,00","109,00","593,00","141,00","310,00","403,00","164,00","55,00","635,00","267,00","23,00","564,00","102,00","586,00","9,00","2,00","1,00","2,00","41,00","1,00","110,00","5,00","0,00","1,00","186,00","312,00","210,00","103,00","31,00","6,00","69,00","742,00","42,00","1,00","198,00","418,00","204,00","34,00"
julho,"854,00","0,00","207,00","647,00","33,00","338,00","85,00","3,00","395,00","0,00","86,00","557,00","211,00","159,00","81,00","614,00","133,00","362,00","359,00","162,00","56,00","636,00","298,00","29,00","527,00","87,00","596,00","12,00","1,00","0,00","2,00","40,00","4,00","112,00","3,00","0,00","2,00","177,00","296,00","216,00","116,00","36,00","8,00","78,00","737,00","37,00","2,00","174,00","448,00","187,00","45,00"
agosto,"985,00","1,00","252,00","732,00","31,00","432,00","106,00","10,00","401,00","5,00","61,00","660,00","264,00","145,00","108,00","732,00","135,00","409,00","441,00","155,00","55,00","775,00","300,00","25,00","660,00","85,00","723,00","7,00","2,00","1,00","2,00","29,00","10,00","126,00","6,00","0,00","2,00","182,00","355,00","265,00","127,00","36,00","12,00","87,00","867,00","30,00","1,00","210,00","527,00","208,00","40,00"
setembro,"899,00","1,00","221,00","677,00","25,00","403,00","77,00","6,00","388,00","0,00","75,00","587,00","237,00","168,00","101,00","630,00","149,00","282,00","468,00","183,00","56,00","660,00","261,00","33,00","605,00","88,00","634,00","6,00","0,00","0,00","1,00","44,00","4,00","122,00","3,00","0,00","0,00","202,00","331,00","222,00","101,00","34,00","6,00","79,00","784,00","36,00","0,00","177,00","435,00","214,00","73,00"
outubro,"937,00","0,00","240,00","697,00","35,00","434,00","106,00","4,00","358,00","0,00","79,00","608,00","250,00","163,00","97,00","677,00","148,00","306,00","483,00","178,00","68,00","691,00","248,00","49,00","640,00","73,00","664,00","7,00","1,00","1,00","3,00","35,00","3,00","150,00","4,00","0,00","0,00","211,00","330,00","226,00","112,00","47,00","7,00","105,00","800,00","30,00","2,00","213,00","416,00","235,00","73,00"
